City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bad Liebenwerda,DE,51.5167,13.4,42.8,75,20,2.3,few clouds
1,Atuona,PF,-9.8,-139.0333,80.29,79,30,22.82,scattered clouds
2,Walvis Bay,NA,-22.9575,14.5053,64.0,72,6,8.05,clear sky
3,Bethel,US,41.3712,-73.414,61.0,20,1,14.97,clear sky
4,Mabaruma,GY,8.2,-59.7833,75.63,90,100,4.88,overcast clouds
5,Thompson,CA,55.7435,-97.8558,24.8,74,90,13.8,light snow
6,Rikitea,PF,-23.1203,-134.9692,79.11,68,100,17.56,overcast clouds
7,Kaitangata,NZ,-46.2817,169.8464,53.01,79,22,5.99,few clouds
8,Laguna,US,38.421,-121.4238,75.0,43,1,12.66,clear sky
9,Pevek,RU,69.7008,170.3133,12.76,89,48,3.58,scattered clouds
10,Ushuaia,AR,-54.8,-68.3,42.8,87,75,4.61,broken clouds
11,Bluff,NZ,-46.6,168.3333,46.0,95,82,1.99,light rain
12,Punta Arenas,CL,-53.15,-70.9167,46.4,93,75,3.44,broken clouds
13,Norman Wells,CA,65.282,-126.8329,32.0,32,75,11.5,broken clouds
14,Jamestown,US,42.097,-79.2353,55.4,30,1,17.27,clear sky
15,Hilo,US,19.7297,-155.09,75.2,73,90,6.91,moderate rain
16,Mataura,NZ,-46.1927,168.8643,46.0,95,65,1.99,broken clouds
17,Qaanaaq,GL,77.484,-69.3632,22.28,83,100,4.63,overcast clouds
18,Victoria,HK,22.2855,114.1577,78.01,87,20,3.0,few clouds
19,New Norfolk,AU,-42.7826,147.0587,51.01,89,97,1.01,overcast clouds
20,Bilibino,RU,68.0546,166.4372,20.37,85,99,3.83,overcast clouds
21,Baykit,RU,61.67,96.37,27.34,93,79,2.13,broken clouds
22,Hermanus,ZA,-34.4187,19.2345,57.99,86,98,1.01,overcast clouds
23,Acandi,CO,8.5063,-77.2778,82.02,80,84,11.03,broken clouds
24,Ulaangom,MN,49.9811,92.0667,31.84,66,86,3.29,overcast clouds
25,Karratha,AU,-20.7377,116.8463,74.37,26,0,11.21,clear sky
26,Kapaa,US,22.0752,-159.319,80.6,65,20,17.27,few clouds
27,Georgetown,MY,5.4112,100.3354,78.8,94,40,7.36,scattered clouds
28,Finschhafen,PG,-6.6024,147.8681,77.95,87,100,8.59,overcast clouds
29,Muros,ES,42.7762,-9.0603,60.01,90,52,3.0,light rain
30,Busselton,AU,-33.65,115.3333,61.0,75,99,1.01,overcast clouds
31,Grindavik,IS,63.8424,-22.4338,44.6,93,90,19.57,overcast clouds
32,Carnarvon,AU,-24.8667,113.6333,64.4,77,0,8.05,clear sky
33,Sokoni,TZ,-6.4333,39.55,80.6,83,40,13.8,scattered clouds
34,Saint Stephen,GB,50.3333,-4.9,51.8,50,98,23.02,overcast clouds
35,Nikolskoye,RU,59.7035,30.7861,39.99,80,40,4.47,scattered clouds
36,Cabo San Lucas,MX,22.8909,-109.9124,84.2,47,40,8.05,scattered clouds
37,San Cristobal,VE,7.7669,-72.225,89.6,58,20,9.22,few clouds
38,Hobart,AU,-42.8794,147.3294,51.8,71,75,8.05,light rain
39,Port Elizabeth,ZA,-33.918,25.5701,62.6,82,40,8.05,scattered clouds
40,Cap-Aux-Meules,CA,47.3821,-61.8597,37.4,81,100,20.71,overcast clouds
41,Fairbanks,US,64.8378,-147.7164,55.4,28,1,9.22,clear sky
42,Vila Velha,BR,-20.3297,-40.2925,77.0,69,75,8.05,broken clouds
43,Acapulco,MX,16.8634,-99.8901,86.0,62,90,11.5,overcast clouds
44,Tiksi,RU,71.6872,128.8694,7.45,94,98,7.36,overcast clouds
45,Hualmay,PE,-11.0964,-77.6139,69.31,82,31,9.08,scattered clouds
46,Albany,US,42.6001,-73.9662,57.0,30,20,23.02,few clouds
47,Hithadhoo,MV,-0.6,73.0833,82.0,74,7,7.9,clear sky
48,Alihe,CN,50.5667,123.7167,31.89,38,29,3.29,scattered clouds
49,George Town,MY,5.4112,100.3354,78.8,94,40,7.36,scattered clouds
50,Tuy Hoa,VN,13.0833,109.3,75.56,91,48,3.33,scattered clouds
51,Provideniya,RU,64.3833,-173.3,40.23,57,81,4.12,broken clouds
52,Tessalit,ML,20.1986,1.0114,88.03,7,0,6.64,clear sky
53,Vila Do Maio,CV,15.1333,-23.2167,69.8,73,20,14.97,few clouds
54,Port Alfred,ZA,-33.5906,26.891,66.43,72,0,21.41,clear sky
55,Saskylakh,RU,71.9167,114.0833,33.6,97,100,20.09,light snow
56,Kendari,ID,-3.945,122.4989,73.78,94,82,3.78,broken clouds
57,Durango,MX,24.8333,-104.8333,78.21,8,62,25.34,broken clouds
58,Arraial Do Cabo,BR,-22.9661,-42.0278,73.4,83,0,18.41,clear sky
59,Vaini,TO,-21.2,-175.2,82.4,83,20,3.44,light rain
60,Arica,CL,-18.475,-70.3042,69.8,64,0,12.66,clear sky
61,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,20,17.27,few clouds
62,Panji,ID,-7.7253,114.0995,72.95,83,28,4.59,scattered clouds
63,Tuatapere,NZ,-46.1333,167.6833,46.0,95,99,1.99,overcast clouds
64,Lebu,CL,-37.6167,-73.65,55.53,88,31,8.32,scattered clouds
65,Upernavik,GL,72.7868,-56.1549,31.51,79,100,5.99,overcast clouds
66,Yellowknife,CA,62.456,-114.3525,16.0,57,75,13.8,broken clouds
67,Yar-Sale,RU,66.8333,70.8333,34.07,99,100,10.22,overcast clouds
68,Chimore,BO,-16.9833,-65.1333,74.34,95,46,1.59,scattered clouds
69,Auki,SB,-8.7676,160.7034,81.1,76,31,2.93,scattered clouds
70,Montepuez,MZ,-13.1256,38.9997,69.37,87,90,6.6,overcast clouds
71,Barsovo,RU,61.1667,73.1667,41.0,56,0,4.47,clear sky
72,Teyateyaneng,LS,-29.1472,27.7489,50.31,39,55,3.85,broken clouds
73,Bay Roberts,CA,47.5999,-53.2648,45.0,70,75,21.85,broken clouds
74,Lasa,IT,46.6166,10.7002,59.0,52,0,5.75,clear sky
75,Ambilobe,MG,-13.2,49.05,72.46,84,90,4.27,overcast clouds
76,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.98,79,7,7.58,clear sky
77,Castro,BR,-24.7911,-50.0119,57.15,75,5,2.39,clear sky
78,Brindisi,IT,40.5833,17.6667,55.99,92,100,3.0,overcast clouds
79,Malpe,IN,13.35,74.7167,78.8,89,20,11.5,few clouds
80,Pacific Grove,US,36.6177,-121.9166,60.8,59,75,13.8,broken clouds
81,Marawi,PH,7.9986,124.2928,73.99,91,100,4.0,overcast clouds
82,Port Macquarie,AU,-31.4333,152.9167,52.0,87,19,8.05,few clouds
83,Bengkulu,ID,-3.8004,102.2655,73.56,89,90,3.83,overcast clouds
84,Sept-Iles,CA,50.2001,-66.3821,37.0,93,81,5.75,broken clouds
85,Katobu,ID,-4.9408,122.5276,73.29,93,13,1.66,few clouds
86,Tasiilaq,GL,65.6145,-37.6368,37.4,48,75,4.61,broken clouds
87,Chuy,UY,-33.6971,-53.4616,66.92,83,17,13.04,few clouds
88,San Policarpo,PH,12.1791,125.5072,77.16,87,100,6.55,overcast clouds
89,El Uvito,CO,7.2429,-72.6294,78.8,73,40,9.22,scattered clouds
90,Airai,TL,-8.9266,125.4092,57.72,87,19,2.73,few clouds
91,Alim,PH,9.5649,122.4876,80.4,81,100,7.14,light rain
92,Pokhara,NP,28.2333,83.9833,69.03,29,22,7.56,few clouds
93,Artur Nogueira,BR,-22.5731,-47.1725,75.2,46,20,8.05,few clouds
94,Okato,NZ,-39.2,173.8833,60.01,79,36,11.01,scattered clouds
95,Solnechnyy,RU,50.7214,136.6319,33.6,64,68,5.73,broken clouds
96,Bambari,CF,5.768,20.6757,70.83,95,100,5.95,light rain
97,Kavaratti,IN,10.5669,72.642,83.43,74,16,7.9,few clouds
98,Kruisfontein,ZA,-34.0033,24.7314,59.0,91,4,4.74,clear sky
99,Zhigansk,RU,66.7697,123.3711,10.22,90,55,5.03,broken clouds
100,Harper,LR,4.375,-7.7169,81.59,81,99,8.57,overcast clouds
101,Collie,AU,-33.3667,116.15,55.99,81,93,3.47,overcast clouds
102,Kodinsk,RU,58.6881,99.1844,28.02,93,80,2.01,broken clouds
103,Borgarnes,IS,64.5383,-21.9206,46.99,81,100,7.0,overcast clouds
104,Ribeira Grande,PT,38.5167,-28.7,59.0,77,40,31.07,scattered clouds
105,Savalou,BJ,7.9281,1.9756,76.24,78,99,2.93,light rain
106,Cuamba,MZ,-14.8031,36.5372,66.34,84,48,2.73,scattered clouds
107,Butaritari,KI,3.0707,172.7902,82.56,76,93,9.95,overcast clouds
108,Ponta Do Sol,PT,32.6667,-17.1,60.01,82,50,5.01,scattered clouds
109,Cape Town,ZA,-33.9258,18.4232,59.0,82,0,5.75,clear sky
110,Kaifeng,CN,34.7911,114.3483,57.2,72,90,20.13,moderate rain
111,Pisco,PE,-13.7,-76.2167,69.8,73,0,11.5,clear sky
112,Lompoc,US,34.6391,-120.4579,60.8,59,0,9.22,clear sky
113,Hasaki,JP,35.7333,140.8333,48.2,81,40,4.61,scattered clouds
114,Bredasdorp,ZA,-34.5322,20.0403,50.0,93,97,3.44,overcast clouds
115,Leningradskiy,RU,69.3833,178.4167,28.47,85,100,2.86,overcast clouds
116,Duldurga,RU,50.6761,113.5931,30.76,30,98,2.39,overcast clouds
117,Alexandria,EG,31.2156,29.9553,64.4,77,0,9.22,clear sky
118,Ola,RU,59.5833,151.2833,26.26,93,98,3.74,overcast clouds
119,Bonthe,SL,7.5264,-12.505,79.07,84,90,4.29,overcast clouds
120,Durres,AL,41.3231,19.4414,51.8,87,0,1.14,clear sky
121,Cidreira,BR,-30.1811,-50.2056,70.59,78,2,18.07,clear sky
122,Raymondville,US,26.4815,-97.7831,89.6,58,40,17.27,scattered clouds
123,Kahului,US,20.8947,-156.47,80.6,61,40,20.71,scattered clouds
124,Rumonge,BI,-3.9736,29.4386,69.87,87,53,4.25,moderate rain
125,Barrow,US,71.2906,-156.7887,19.4,79,1,3.44,clear sky
126,Hanzhong,CN,33.0728,107.0303,56.57,93,100,7.11,overcast clouds
127,Tvoroyri,FO,61.5556,-6.8111,42.8,100,20,5.75,few clouds
128,Faanui,PF,-16.4833,-151.75,80.4,74,80,9.82,light rain
129,Aykhal,RU,66.0,111.5,21.02,87,81,6.71,broken clouds
130,Fortuna,US,40.5982,-124.1573,59.0,76,1,10.36,clear sky
131,Coquimbo,CL,-29.9533,-71.3436,64.4,59,40,11.5,scattered clouds
132,Samarai,PG,-10.6167,150.6667,83.21,77,99,10.63,overcast clouds
133,Iqaluit,CA,63.7506,-68.5145,28.4,93,90,4.61,light snow
134,Vao,NC,-22.6667,167.4833,75.69,76,97,13.04,overcast clouds
135,Libreville,GA,0.3925,9.4537,79.03,84,34,6.93,scattered clouds
136,Nicoya,CR,10.1483,-85.452,91.4,43,20,12.66,few clouds
137,Clyde River,CA,70.4692,-68.5914,17.6,100,90,5.75,overcast clouds
138,Bongandanga,CD,1.5,21.05,70.38,99,100,1.68,overcast clouds
139,Komsomolskiy,UZ,40.4272,71.7189,53.6,58,13,2.3,few clouds
140,Sao Filipe,CV,14.8961,-24.4956,72.66,72,45,11.03,scattered clouds
141,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,72,40,20.71,scattered clouds
142,Chokurdakh,RU,70.6333,147.9167,-0.53,91,68,1.9,broken clouds
143,Rudiskes,LT,54.5167,24.8333,33.8,86,75,9.22,broken clouds
144,Omsukchan,RU,62.5333,155.8,23.7,92,100,2.73,light snow
145,Quincy,US,42.2529,-71.0023,60.01,28,62,3.0,broken clouds
146,Katsuura,JP,35.1333,140.3,53.6,71,20,5.75,few clouds
147,Tsurugashima,JP,35.9397,139.3907,55.99,76,1,2.15,clear sky
148,Kontagora,NG,10.3999,5.4695,87.62,45,90,8.66,overcast clouds
149,Codrington,AU,-38.2667,141.9667,53.76,88,100,7.96,overcast clouds
150,Nanortalik,GL,60.1432,-45.2371,36.81,85,15,3.78,few clouds
151,Nagato,JP,34.3833,131.2,60.8,88,75,11.5,broken clouds
152,Nieuw Amsterdam,SR,5.8833,-55.0833,82.4,78,40,5.75,moderate rain
153,Cabra,ES,37.4725,-4.4421,62.6,67,0,3.44,clear sky
154,Shunyi,CN,40.125,116.6453,50.0,93,0,5.26,clear sky
155,Mitsamiouli,KM,-11.3847,43.2844,80.73,79,84,12.46,light rain
156,Kodiak,US,57.79,-152.4072,39.2,87,90,5.75,light rain
157,Aksu,CN,41.1231,80.2644,50.11,43,0,6.87,clear sky
158,Sitka,US,57.0531,-135.33,59.0,23,1,10.36,clear sky
159,Krasnoarmeysk,RU,51.0239,45.6969,46.9,83,71,3.96,broken clouds
160,Ilulissat,GL,69.2167,-51.1,37.4,65,100,2.3,overcast clouds
161,Huarmey,PE,-10.0681,-78.1522,70.66,79,9,8.28,clear sky
162,Balkhash,KZ,46.844,74.9804,38.26,41,32,12.12,scattered clouds
163,Vallenar,CL,-28.5708,-70.7581,64.58,57,92,5.44,overcast clouds
164,Dikson,RU,73.5069,80.5464,32.2,97,100,18.57,overcast clouds
165,Matara,LK,5.9485,80.5353,77.14,90,70,5.41,broken clouds
166,Hamilton,US,39.1834,-84.5333,59.0,44,90,10.36,overcast clouds
167,Berlevag,NO,70.8578,29.0864,28.4,80,20,10.36,light snow
168,Ahipara,NZ,-35.1667,173.1667,65.23,69,46,9.44,scattered clouds
169,Goderich,CA,43.7501,-81.7165,55.4,44,30,9.22,scattered clouds
170,Katangli,RU,51.7102,143.2326,29.55,93,100,8.84,snow
171,Henties Bay,NA,-22.116,14.2845,64.0,85,6,4.34,clear sky
172,San Patricio,US,28.017,-97.5169,86.0,70,1,26.46,clear sky
173,Orlik,RU,52.5178,99.825,23.59,91,100,3.11,light snow
174,Avarua,CK,-21.2078,-159.775,82.4,74,75,17.27,broken clouds
175,Eqbaliyeh,IR,35.3022,51.5358,73.4,37,75,11.5,broken clouds
176,Kudat,MY,6.8837,116.8477,78.8,89,20,3.44,few clouds
177,Evensk,RU,61.95,159.2333,30.24,98,100,6.42,snow
178,Flagstaff,US,35.1981,-111.6513,63.0,21,20,18.41,few clouds
179,Birao,CF,10.2849,22.7882,89.58,29,98,8.5,overcast clouds
180,Porto De Moz,BR,-1.7483,-52.2383,78.28,83,97,2.13,overcast clouds
181,Lerwick,GB,60.1545,-1.1494,44.6,87,98,3.44,overcast clouds
182,Khatanga,RU,71.9667,102.5,32.95,97,100,21.07,overcast clouds
183,Szczecinek,PL,53.7079,16.6994,37.0,62,0,6.58,clear sky
184,Poya,NC,-21.35,165.15,78.75,79,94,3.76,overcast clouds
185,Maniitsoq,GL,65.4167,-52.9,34.16,73,12,4.05,few clouds
186,Yatou,CN,37.15,122.3833,49.84,88,100,13.58,overcast clouds
187,Korla,CN,41.7597,86.1469,43.63,61,44,9.46,scattered clouds
188,Savannah Bight,HN,16.45,-85.85,86.0,66,20,12.66,few clouds
189,Guerrero Negro,MX,27.9769,-114.0611,65.07,59,13,21.27,few clouds
190,East London,ZA,-33.0153,27.9116,64.45,76,8,10.0,clear sky
191,Meulaboh,ID,4.1363,96.1285,76.96,85,100,3.0,light rain
192,Chaah,MY,2.249,103.048,76.08,89,98,0.85,moderate rain
193,Wadi Maliz,TN,36.4681,8.5495,59.0,82,40,3.44,scattered clouds
194,Te Anau,NZ,-45.4167,167.7167,47.79,84,73,3.06,light rain
195,Challapata,BO,-18.9,-66.7667,53.26,30,64,7.38,broken clouds
196,Asau,RO,46.4333,26.4,37.99,70,38,2.98,scattered clouds
197,Saint-Francois,FR,46.4154,3.9054,50.0,46,0,1.14,clear sky
198,Nemuro,JP,43.3236,145.575,39.83,81,100,15.77,overcast clouds
199,Pampas,PE,-12.4,-74.9,55.04,76,60,3.31,broken clouds
200,Narsaq,GL,60.9167,-46.05,46.4,49,1,8.05,clear sky
201,Denpasar,ID,-8.65,115.2167,77.0,83,20,3.44,few clouds
202,Gawler,AU,-34.6,138.7333,54.0,91,72,2.06,broken clouds
203,Americus,US,32.0724,-84.2327,73.4,23,90,4.61,overcast clouds
204,Cave Spring,US,37.2276,-80.0128,64.0,25,75,6.91,broken clouds
205,Vardo,NO,70.3705,31.1107,33.8,69,40,11.5,scattered clouds
206,Lorengau,PG,-2.0226,147.2712,79.83,78,94,3.4,overcast clouds
207,Llangefni,GB,53.2556,-4.3106,53.01,50,100,5.75,overcast clouds
208,Anaconda,US,46.1285,-112.9423,41.0,65,90,3.44,overcast clouds
209,Wellington,NZ,-41.2866,174.7756,62.6,77,13,8.05,few clouds
210,Taltal,CL,-25.4,-70.4833,63.88,76,11,5.64,few clouds
211,Namatanai,PG,-3.6667,152.4333,78.22,84,100,3.91,overcast clouds
212,Pangnirtung,CA,66.1451,-65.7125,24.8,93,75,2.3,broken clouds
213,Burnie,AU,-41.0667,145.9167,48.99,96,89,4.0,overcast clouds
214,Ostrovnoy,RU,68.0531,39.5131,32.49,93,100,19.24,light snow
215,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.0,65,0,9.22,clear sky
216,Puerto Leguizamo,CO,-0.1934,-74.7819,78.76,93,64,2.21,broken clouds
217,Nuuk,GL,64.1835,-51.7216,32.0,86,90,4.61,overcast clouds
218,Thaton,MM,16.9206,97.3714,80.55,80,99,1.34,overcast clouds
219,Avera,US,33.194,-82.5271,71.6,24,1,9.22,clear sky
220,Sabha,LY,27.0377,14.4283,84.42,12,59,5.28,broken clouds
221,Cherskiy,RU,68.75,161.3,22.15,94,100,5.95,snow
222,Oriximina,BR,-1.7656,-55.8661,77.27,90,92,3.8,overcast clouds
223,Tuktoyaktuk,CA,69.4541,-133.0374,15.8,62,75,11.5,broken clouds
224,Nipawin,CA,53.3668,-104.0009,37.4,30,75,11.5,broken clouds
225,Bambous Virieux,MU,-20.3428,57.7575,79.0,78,40,9.22,light rain
226,Grand Gaube,MU,-20.0064,57.6608,79.0,78,99,7.0,light rain
227,Gizo,SB,-8.103,156.8419,82.81,73,95,8.79,overcast clouds
228,College,US,64.8569,-147.8028,55.4,30,20,8.05,few clouds
